State,Date,Negative Impact,% SB having decrease in revenue,Approx. Mean Revenue,Full Name,% SB close for at least one day,% SB having disruptions in supply chain,% SB shift production/services,% SB only do pickup/delivery,Approx. Days Till Normal,% SB having decrease in paid employee,% SB having decrease in paid employee work hours,Approx. Days Cash on Hand Can Cover,% SB missed loan payment,% SB missed other scheduled payment,% SB requested financial assistance from PPP,% SB received financial assistance from PPP,% SB not received financial assistance from Federal program
CT,2020-05-09,88.80000000000001,0.6459999999999999,36239.25,Connecticut,0.425,0.39399999999999996,0.08199999999999999,0.14,253.36499999999998,0.242,0.415,62.098499999999994,0.12300000000000001,0.284,0.764,0.568,0.36700000000000005
DC,2020-05-09,90.7,0.726,14331.0,District of Columbia,0.48700000000000004,0.401,,0.218,127.32,0.237,0.306,69.75,,0.371,0.718,0.436,0.45899999999999996
DE,2020-05-09,87.4,0.655,6024.75,Delaware,0.371,0.406,,0.145,189.78,0.207,0.40399999999999997,48.618500000000004,0.115,0.245,0.696,0.564,0.42700000000000005
FL,2020-05-09,83.1,0.6890000000000001,30871.75,Florida,0.358,0.418,0.075,0.125,232.185,0.184,0.45,64.769,0.10800000000000001,0.215,0.763,0.501,0.406
GA,2020-05-09,82.69999999999999,0.654,41597.75,Georgia,0.304,0.385,0.052000000000000005,0.16699999999999998,211.66500000000005,0.19399999999999998,0.41700000000000004,58.027,0.114,0.193,0.763,0.514,0.4
HI,2020-05-09,86.4,0.715,5707.5,Hawaii,0.506,0.442,0.12,0.10800000000000001,218.595,0.32799999999999996,0.519,62.29900000000001,0.159,0.282,0.779,0.61,0.311
IA,2020-05-09,81.1,0.609,11749.0,Iowa,0.245,0.366,0.07,0.124,235.43999999999997,0.183,0.37200000000000005,50.5215,0.052000000000000005,0.151,0.7290000000000001,0.627,0.32799999999999996
ID,2020-05-09,82.89999999999999,0.603,15999.25,Idaho,0.294,0.405,0.055999999999999994,0.131,177.04500000000002,0.185,0.40399999999999997,46.7855,0.069,0.134,0.677,0.528,0.381
IL,2020-05-09,89.1,0.708,35584.5,Illinois,0.364,0.425,0.076,0.152,241.90499999999997,0.222,0.455,66.376,0.086,0.213,0.7879999999999999,0.629,0.313
IN,2020-05-09,87.3,0.6459999999999999,34727.25,Indiana,0.35100000000000003,0.42,0.032,0.177,197.535,0.223,0.43200000000000005,65.84649999999999,0.085,0.18600000000000003,0.74,0.606,0.335
KS,2020-05-09,85.9,0.6809999999999999,25408.75,Kansas,0.32799999999999996,0.431,0.095,0.158,234.49499999999998,0.147,0.447,52.059,0.078,0.133,0.7440000000000001,0.632,0.307
KY,2020-05-09,89.4,0.664,12742.75,Kentucky,0.326,0.386,0.059000000000000004,0.237,232.85999999999999,0.184,0.45,61.2285,0.07400000000000001,0.161,0.7440000000000001,0.605,0.344
LA,2020-05-09,88.7,0.7490000000000001,16076.5,Louisiana,0.366,0.469,0.045,0.149,238.065,0.204,0.511,60.7855,0.08900000000000001,0.18100000000000002,0.8140000000000001,0.649,0.265
MA,2020-05-09,84.6,0.711,38538.0,Massachusetts,0.461,0.444,0.068,0.129,250.23,0.284,0.43799999999999994,74.031,0.106,0.22699999999999998,0.7759999999999999,0.621,0.312
MD,2020-05-09,89.0,0.735,50871.5,Maryland,0.385,0.45299999999999996,0.08199999999999999,0.109,242.89499999999998,0.237,0.466,62.48049999999999,0.113,0.23,0.7390000000000001,0.5379999999999999,0.415
ME,2020-05-09,87.6,0.693,6403.0,Maine,0.342,0.48100000000000004,,0.225,191.4,0.213,0.434,66.28649999999999,0.132,0.188,0.728,0.637,0.311
MI,2020-05-09,91.8,0.731,29284.25,Michigan,0.506,0.49,0.046,0.18100000000000002,218.74500000000003,0.315,0.513,61.36149999999999,0.106,0.20199999999999999,0.759,0.564,0.33799999999999997
MN,2020-05-09,82.39999999999999,0.67,40473.0,Minnesota,0.28,0.373,0.055999999999999994,0.133,247.60499999999996,0.218,0.34700000000000003,73.828,0.073,0.153,0.7559999999999999,0.624,0.33
MO,2020-05-09,87.9,0.6859999999999999,24210.75,Missouri,0.359,0.45899999999999996,0.059000000000000004,0.141,215.90999999999997,0.207,0.41,66.65050000000001,0.068,0.15,0.7909999999999999,0.672,0.299
MS,2020-05-09,92.0,0.7020000000000001,6755.5,Mississippi,0.348,0.521,,0.11699999999999999,110.26500000000001,0.203,0.49,30.054000000000002,,0.22,0.8340000000000001,0.7120000000000001,0.205
MT,2020-05-09,76.89999999999999,0.426,6520.75,Montana,0.275,0.397,0.06,0.091,181.5,0.149,0.374,54.74900000000001,0.064,0.12,0.5870000000000001,0.536,0.39
NC,2020-05-09,84.8,0.645,26219.0,North Carolina,0.294,0.418,0.069,0.172,224.145,0.185,0.445,61.95899999999999,0.086,0.174,0.7120000000000001,0.507,0.408
ND,2020-05-09,77.10000000000001,0.588,6587.750000000001,North Dakota,0.174,0.37200000000000005,,0.1,148.785,0.124,0.316,53.543,,0.083,0.721,0.6859999999999999,0.253
NE,2020-05-09,81.5,0.616,12455.25,Nebraska,0.23199999999999998,0.39799999999999996,0.044000000000000004,0.14300000000000002,180.88499999999996,0.124,0.316,53.1275,,0.075,0.737,0.69,0.244
NH,2020-05-09,83.3,0.6,24471.0,New Hampshire,0.317,0.44799999999999995,0.057,0.192,235.89,0.184,0.358,50.938,0.096,0.19,0.762,0.593,0.368
NJ,2020-05-09,92.19999999999999,0.758,35879.0,New Jersey,0.48,0.518,0.064,0.155,245.99999999999997,0.313,0.512,58.3825,0.138,0.327,0.768,0.507,0.39399999999999996
NM,2020-05-09,86.7,0.708,21722.25,New Mexico,0.381,0.406,0.055,0.192,216.57000000000002,0.258,0.434,55.64650000000001,0.179,0.265,0.711,0.509,0.41700000000000004
