Full Name,Date,State,Negative Impact,% SB having decrease in revenue,Approx. Mean Revenue,% SB close for at least one day,% SB having disruptions in supply chain,% SB shift production/services,% SB only do pickup/delivery,Approx. Days Til Normal,% SB having decrease in paid employee,% SB having decrease in paid employee work hours,Approx. Days Cash on Hand Can Cover,% SB missed loan payment,% SB missed other scheduled payment,% SB requested financial assistance from PPP,% SB received financial assistance from PPP,% SB not received financial assistance from Federal program
Connecticut,2020-05-09,CT,88.80000000000001,0.6459999999999999,36239.25,0.425,0.39399999999999996,0.08199999999999999,0.14,253.36499999999998,0.242,0.415,62.098499999999994,0.12300000000000001,0.284,0.764,0.568,0.36700000000000005
District of Columbia,2020-05-09,DC,90.7,0.726,14331.0,0.48700000000000004,0.401,,0.218,127.32,0.237,0.306,69.75,,0.371,0.718,0.436,0.45899999999999996
Delaware,2020-05-09,DE,87.4,0.655,6024.75,0.371,0.406,,0.145,189.78,0.207,0.40399999999999997,48.618500000000004,0.115,0.245,0.696,0.564,0.42700000000000005
Florida,2020-05-09,FL,83.1,0.6890000000000001,30871.75,0.358,0.418,0.075,0.125,232.185,0.184,0.45,64.769,0.10800000000000001,0.215,0.763,0.501,0.406
Georgia,2020-05-09,GA,82.69999999999999,0.654,41597.75,0.304,0.385,0.052000000000000005,0.16699999999999998,211.66500000000005,0.19399999999999998,0.41700000000000004,58.027,0.114,0.193,0.763,0.514,0.4
Hawaii,2020-05-09,HI,86.4,0.715,5707.5,0.506,0.442,0.12,0.10800000000000001,218.595,0.32799999999999996,0.519,62.29900000000001,0.159,0.282,0.779,0.61,0.311
Iowa,2020-05-09,IA,81.1,0.609,11749.0,0.245,0.366,0.07,0.124,235.43999999999997,0.183,0.37200000000000005,50.5215,0.052000000000000005,0.151,0.7290000000000001,0.627,0.32799999999999996
Idaho,2020-05-09,ID,82.89999999999999,0.603,15999.25,0.294,0.405,0.055999999999999994,0.131,177.04500000000002,0.185,0.40399999999999997,46.7855,0.069,0.134,0.677,0.528,0.381
Illinois,2020-05-09,IL,89.1,0.708,35584.5,0.364,0.425,0.076,0.152,241.90499999999997,0.222,0.455,66.376,0.086,0.213,0.7879999999999999,0.629,0.313
Indiana,2020-05-09,IN,87.3,0.6459999999999999,34727.25,0.35100000000000003,0.42,0.032,0.177,197.535,0.223,0.43200000000000005,65.84649999999999,0.085,0.18600000000000003,0.74,0.606,0.335
Kansas,2020-05-09,KS,85.9,0.6809999999999999,25408.75,0.32799999999999996,0.431,0.095,0.158,234.49499999999998,0.147,0.447,52.059,0.078,0.133,0.7440000000000001,0.632,0.307
Kentucky,2020-05-09,KY,89.4,0.664,12742.75,0.326,0.386,0.059000000000000004,0.237,232.85999999999999,0.184,0.45,61.2285,0.07400000000000001,0.161,0.7440000000000001,0.605,0.344
Louisiana,2020-05-09,LA,88.7,0.7490000000000001,16076.5,0.366,0.469,0.045,0.149,238.065,0.204,0.511,60.7855,0.08900000000000001,0.18100000000000002,0.8140000000000001,0.649,0.265
Massachusetts,2020-05-09,MA,84.6,0.711,38538.0,0.461,0.444,0.068,0.129,250.23,0.284,0.43799999999999994,74.031,0.106,0.22699999999999998,0.7759999999999999,0.621,0.312
Maryland,2020-05-09,MD,89.0,0.735,50871.5,0.385,0.45299999999999996,0.08199999999999999,0.109,242.89499999999998,0.237,0.466,62.48049999999999,0.113,0.23,0.7390000000000001,0.5379999999999999,0.415
Maine,2020-05-09,ME,87.6,0.693,6403.0,0.342,0.48100000000000004,,0.225,191.4,0.213,0.434,66.28649999999999,0.132,0.188,0.728,0.637,0.311
Michigan,2020-05-09,MI,91.8,0.731,29284.25,0.506,0.49,0.046,0.18100000000000002,218.74500000000003,0.315,0.513,61.36149999999999,0.106,0.20199999999999999,0.759,0.564,0.33799999999999997
Minnesota,2020-05-09,MN,82.39999999999999,0.67,40473.0,0.28,0.373,0.055999999999999994,0.133,247.60499999999996,0.218,0.34700000000000003,73.828,0.073,0.153,0.7559999999999999,0.624,0.33
Missouri,2020-05-09,MO,87.9,0.6859999999999999,24210.75,0.359,0.45899999999999996,0.059000000000000004,0.141,215.90999999999997,0.207,0.41,66.65050000000001,0.068,0.15,0.7909999999999999,0.672,0.299
Mississippi,2020-05-09,MS,92.0,0.7020000000000001,6755.5,0.348,0.521,,0.11699999999999999,110.26500000000001,0.203,0.49,30.054000000000002,,0.22,0.8340000000000001,0.7120000000000001,0.205
Montana,2020-05-09,MT,76.89999999999999,0.426,6520.75,0.275,0.397,0.06,0.091,181.5,0.149,0.374,54.74900000000001,0.064,0.12,0.5870000000000001,0.536,0.39
North Carolina,2020-05-09,NC,84.8,0.645,26219.0,0.294,0.418,0.069,0.172,224.145,0.185,0.445,61.95899999999999,0.086,0.174,0.7120000000000001,0.507,0.408
North Dakota,2020-05-09,ND,77.10000000000001,0.588,6587.750000000001,0.174,0.37200000000000005,,0.1,148.785,0.124,0.316,53.543,,0.083,0.721,0.6859999999999999,0.253
Nebraska,2020-05-09,NE,81.5,0.616,12455.25,0.23199999999999998,0.39799999999999996,0.044000000000000004,0.14300000000000002,180.88499999999996,0.124,0.316,53.1275,,0.075,0.737,0.69,0.244
New Hampshire,2020-05-09,NH,83.3,0.6,24471.0,0.317,0.44799999999999995,0.057,0.192,235.89,0.184,0.358,50.938,0.096,0.19,0.762,0.593,0.368
New Jersey,2020-05-09,NJ,92.19999999999999,0.758,35879.0,0.48,0.518,0.064,0.155,245.99999999999997,0.313,0.512,58.3825,0.138,0.327,0.768,0.507,0.39399999999999996
New Mexico,2020-05-09,NM,86.7,0.708,21722.25,0.381,0.406,0.055,0.192,216.57000000000002,0.258,0.434,55.64650000000001,0.179,0.265,0.711,0.509,0.41700000000000004
Nevada,2020-05-09,NV,87.6,0.701,12775.5,0.35,0.41200000000000003,0.071,0.142,243.89999999999998,0.259,0.44,63.26649999999999,0.091,0.21,0.741,0.461,0.45
New York,2020-05-09,NY,88.7,0.7559999999999999,37031.5,0.539,0.46,0.069,0.141,263.4,0.29100000000000004,0.457,60.138999999999996,0.146,0.358,0.764,0.5660000000000001,0.358
Ohio,2020-05-09,OH,86.5,0.6629999999999999,44909.0,0.366,0.45,0.055999999999999994,0.153,251.17499999999995,0.251,0.42,64.537,0.091,0.198,0.779,0.605,0.341
Oklahoma,2020-05-09,OK,84.7,0.644,11406.25,0.298,0.42100000000000004,0.051,0.193,238.19999999999996,0.14800000000000002,0.43200000000000005,56.278000000000006,0.092,0.128,0.7709999999999999,0.685,0.267
Oregon,2020-05-09,OR,87.6,0.682,34579.0,0.327,0.392,0.07,0.10300000000000001,265.23,0.23,0.451,73.114,0.10400000000000001,0.193,0.685,0.455,0.467
Pennsylvania,2020-05-09,PA,86.7,0.688,34515.5,0.442,0.45899999999999996,0.057,0.157,235.245,0.258,0.436,61.79849999999999,0.109,0.223,0.75,0.593,0.32899999999999996
Rhode Island,2020-05-09,RI,95.3,0.733,7775.999999999999,0.377,0.37200000000000005,,,109.36499999999998,0.19,0.425,47.14,,0.22,0.677,0.555,0.35600000000000004
South Carolina,2020-05-09,SC,83.3,0.638,40441.5,0.324,0.41200000000000003,0.048,0.133,203.46000000000004,0.2,0.39399999999999996,55.466499999999996,0.09300000000000001,0.205,0.7559999999999999,0.595,0.354
South Dakota,2020-05-09,SD,80.7,0.527,7661.75,0.237,0.349,,0.17800000000000002,134.205,0.145,0.307,62.346500000000006,,,0.703,0.627,0.305
Tennessee,2020-05-09,TN,87.9,0.622,26719.75,0.284,0.47700000000000004,0.068,0.163,222.51000000000002,0.187,0.39,65.4505,0.094,0.151,0.7929999999999999,0.66,0.304
Texas,2020-05-09,TX,85.0,0.6659999999999999,43000.25,0.307,0.408,0.078,0.155,238.605,0.16399999999999998,0.387,67.07499999999999,0.12300000000000001,0.191,0.758,0.61,0.327
Utah,2020-05-09,UT,80.8,0.595,35367.75,0.23399999999999999,0.401,0.053,0.107,185.895,0.14300000000000002,0.391,60.1995,0.10800000000000001,0.177,0.733,0.563,0.40399999999999997
Virginia,2020-05-09,VA,84.2,0.6679999999999999,40389.25,0.33299999999999996,0.396,0.068,0.142,239.79000000000008,0.188,0.42100000000000004,71.856,0.11,0.252,0.75,0.488,0.408
Vermont,2020-05-09,VT,89.19999999999999,0.715,5156.0,0.43700000000000006,0.511,,0.191,122.41499999999999,0.177,0.44,52.078500000000005,0.094,0.14400000000000002,0.691,0.627,0.293
Washington,2020-05-09,WA,84.80000000000001,0.69,33275.0,0.447,0.452,0.081,0.145,246.75,0.254,0.466,69.827,0.094,0.235,0.703,0.474,0.42
Wisconsin,2020-05-09,WI,84.00000000000001,0.6859999999999999,37777.0,0.306,0.436,0.084,0.182,230.56500000000003,0.204,0.392,69.7045,0.091,0.155,0.7490000000000001,0.629,0.33799999999999997
West Virginia,2020-05-09,WV,83.1,0.726,3943.0,0.33,0.415,,0.18,109.65,0.266,0.401,27.7165,0.171,0.24100000000000002,0.7509999999999999,0.584,0.37200000000000005
Wyoming,2020-05-09,WY,83.39999999999999,0.574,2151.25,0.294,0.505,,0.163,123.21000000000001,0.17,0.41600000000000004,34.036,,,0.733,0.578,0.366
Alaska,2020-05-16,AK,91.0,0.691,2379.5,0.332,0.44299999999999995,,0.102,197.14500000000004,0.235,0.478,60.496,,0.121,0.74,0.69,0.293
Alabama,2020-05-16,AL,84.8,0.536,17586.25,0.27,0.40700000000000003,,0.18899999999999997,197.64000000000001,0.14,0.314,37.986000000000004,0.067,0.145,0.848,0.767,0.19
Arkansas,2020-05-16,AR,77.69999999999999,0.5720000000000001,13967.25,0.156,0.414,,0.21,167.655,0.174,0.309,47.438500000000005,0.132,0.11,0.693,0.643,0.32
Arizona,2020-05-16,AZ,77.8,0.5579999999999999,31215.25,0.258,0.374,0.047,0.09699999999999999,217.39500000000004,0.149,0.327,63.605999999999995,0.07200000000000001,0.179,0.721,0.648,0.318
California,2020-05-16,CA,85.9,0.654,35576.75,0.409,0.419,0.075,0.14400000000000002,260.28000000000003,0.242,0.406,74.071,0.111,0.242,0.728,0.617,0.327
Colorado,2020-05-16,CO,84.6,0.5489999999999999,37412.25,0.28600000000000003,0.40299999999999997,0.065,0.11,239.68500000000003,0.155,0.326,73.58399999999999,0.083,0.163,0.691,0.639,0.305
Connecticut,2020-05-16,CT,90.4,0.638,25308.75,0.387,0.402,0.07200000000000001,0.147,266.94,0.192,0.381,68.661,0.096,0.27699999999999997,0.747,0.6759999999999999,0.262
District of Columbia,2020-05-16,DC,87.9,0.65,1755.0,0.452,0.366,0.12300000000000001,,203.79000000000002,0.195,0.365,62.54999999999999,,0.344,0.758,0.596,0.33799999999999997
Delaware,2020-05-16,DE,83.89999999999999,0.584,6228.5,0.359,0.518,,0.192,112.91999999999999,0.24600000000000002,0.397,33.0585,0.11,0.20800000000000002,0.733,0.682,0.275
Florida,2020-05-16,FL,88.3,0.647,28552.25,0.321,0.4,0.066,0.12,238.85999999999999,0.161,0.381,64.1425,0.11199999999999999,0.218,0.753,0.649,0.293
Georgia,2020-05-16,GA,88.1,0.599,39078.25,0.268,0.41200000000000003,0.079,0.145,224.97000000000003,0.136,0.34,73.81500000000001,0.10300000000000001,0.18,0.7509999999999999,0.6659999999999999,0.27
Hawaii,2020-05-16,HI,87.9,0.7140000000000001,6812.5,0.409,0.433,,0.156,284.20500000000004,0.249,0.536,61.851,0.157,0.317,0.733,0.653,0.319
Iowa,2020-05-16,IA,83.2,0.555,26856.0,0.207,0.33899999999999997,0.071,0.165,209.79,0.135,0.254,54.878,0.053,0.10800000000000001,0.7390000000000001,0.691,0.273
Idaho,2020-05-16,ID,77.5,0.489,11262.5,0.20199999999999999,0.46,0.083,0.122,133.57500000000002,0.154,0.32899999999999996,54.465,0.07200000000000001,0.171,0.684,0.635,0.36
Illinois,2020-05-16,IL,88.39999999999999,0.703,36831.25,0.322,0.415,0.063,0.14,274.575,0.18899999999999997,0.392,64.9935,0.09300000000000001,0.204,0.752,0.691,0.263
Indiana,2020-05-16,IN,83.5,0.578,34134.25,0.24100000000000002,0.43799999999999994,0.071,0.126,226.33499999999998,0.16399999999999998,0.327,64.437,0.073,0.15,0.7709999999999999,0.705,0.266
Kansas,2020-05-16,KS,80.0,0.565,15706.75,0.263,0.381,0.051,0.17,219.945,0.087,0.298,66.67900000000002,0.068,0.142,0.764,0.721,0.22899999999999998
Kentucky,2020-05-16,KY,82.69999999999999,0.5429999999999999,13967.25,0.348,0.43200000000000005,0.083,0.19899999999999998,199.68,0.16699999999999998,0.385,66.51600000000002,0.10300000000000001,0.158,0.691,0.6509999999999999,0.28300000000000003
Louisiana,2020-05-16,LA,85.3,0.655,19116.5,0.33299999999999996,0.401,0.08199999999999999,0.156,244.8,0.18100000000000002,0.39899999999999997,55.83550000000001,0.12300000000000001,0.198,0.789,0.713,0.23800000000000002
Massachusetts,2020-05-16,MA,89.60000000000001,0.679,35134.5,0.415,0.423,0.066,0.157,281.49,0.249,0.41600000000000004,74.9445,0.086,0.198,0.7140000000000001,0.652,0.293
Maryland,2020-05-16,MD,82.8,0.6559999999999999,36056.5,0.36,0.46799999999999997,0.065,0.14,256.72499999999997,0.19399999999999998,0.415,68.16650000000001,0.132,0.22399999999999998,0.742,0.6579999999999999,0.305
Maine,2020-05-16,ME,85.9,0.531,13633.75,0.341,0.42200000000000004,0.055999999999999994,0.177,198.45,0.102,0.28300000000000003,49.9945,0.064,0.127,0.802,0.731,0.255
Michigan,2020-05-16,MI,93.39999999999999,0.6859999999999999,28366.75,0.466,0.488,0.061,0.179,250.59,0.268,0.45,57.5675,0.11699999999999999,0.237,0.746,0.6890000000000001,0.256
Minnesota,2020-05-16,MN,84.0,0.598,37739.5,0.28600000000000003,0.431,0.08199999999999999,0.17300000000000001,266.175,0.154,0.331,73.55850000000001,0.08,0.14400000000000002,0.755,0.7120000000000001,0.23800000000000002
Missouri,2020-05-16,MO,82.89999999999999,0.57,30987.5,0.252,0.43,0.025,0.134,209.44499999999996,0.11599999999999999,0.308,69.01150000000001,0.07200000000000001,0.17300000000000001,0.763,0.715,0.242
Mississippi,2020-05-16,MS,82.69999999999999,0.59,13039.5,0.228,0.493,,0.121,149.57999999999998,0.146,0.337,42.975,0.134,0.174,0.8029999999999999,0.7809999999999999,0.16699999999999998
Montana,2020-05-16,MT,82.5,0.461,7527.5,0.198,0.409,0.076,0.11800000000000001,163.53000000000003,0.10800000000000001,0.321,51.80049999999999,0.107,0.165,0.627,0.581,0.35600000000000004
North Carolina,2020-05-16,NC,86.3,0.628,32506.25,0.313,0.457,0.085,0.145,245.46,0.16899999999999998,0.38,67.741,0.102,0.22699999999999998,0.743,0.6509999999999999,0.284
North Dakota,2020-05-16,ND,90.10000000000001,0.604,8700.5,0.196,0.413,,0.163,123.14999999999999,,0.341,32.346000000000004,,0.168,0.743,0.723,0.254
Nebraska,2020-05-16,NE,85.1,0.6509999999999999,14126.0,0.22399999999999998,0.41,,0.177,180.495,0.145,0.355,47.772999999999996,0.051,0.094,0.74,0.6859999999999999,0.257
New Hampshire,2020-05-16,NH,89.3,0.68,14570.0,0.38799999999999996,0.433,,0.157,247.21500000000003,0.16699999999999998,0.314,63.8805,0.133,0.205,0.8290000000000001,0.794,0.179
New Jersey,2020-05-16,NJ,87.4,0.662,34968.5,0.41,0.42100000000000004,0.063,0.139,254.13,0.221,0.36700000000000005,62.797500000000014,0.115,0.289,0.773,0.669,0.292
New Mexico,2020-05-16,NM,81.89999999999999,0.6729999999999999,13942.25,0.369,0.402,0.054000000000000006,0.183,213.85500000000002,0.175,0.365,54.5375,0.07200000000000001,0.196,0.6779999999999999,0.618,0.287
Nevada,2020-05-16,NV,89.0,0.606,13874.25,0.319,0.40700000000000003,0.052000000000000005,0.1,263.95500000000004,0.196,0.374,70.92599999999999,0.11,0.22399999999999998,0.745,0.634,0.337
New York,2020-05-16,NY,87.7,0.721,34478.5,0.514,0.47700000000000004,0.068,0.15,268.81500000000005,0.253,0.41200000000000003,62.6665,0.125,0.314,0.774,0.682,0.256
Ohio,2020-05-16,OH,85.09999999999998,0.5760000000000001,41394.75,0.258,0.386,0.061,0.13699999999999998,261.69,0.166,0.336,69.571,0.091,0.185,0.777,0.706,0.245
